actor,x,y,score,log_score,ranking_score,sector,community,country,label_size,x_label,y_label
01.AI,8.154168,-5.0430946,10.0,1.0413926851582251,1000.0,AI model,0,China,8.1,8.427527151338317,-4.9308862904306565
1X Technologies,-2.4707122,-22.313782,5.0,0.7781512503836436,10000.0,Robotics,1,United States,8.6,-2.5757146940668036,-22.334934595166114
3ive AI,9.183343,-21.4591,5.0,0.7781512503836436,5.0,ICT,2,Germany,8.0,9.178193851285023,-21.396564948951728
4.screen,-3.6010292,-4.5411634,6.0,0.8450980400142568,150.0,Transport & Mobility,18,Germany,8.1,-4.577496644694499,-4.53305932732151
4Paradigm,3.4614642,-10.408989,6.0,0.8450980400142568,1000.0,AI model,27,China,8.1,3.4614641666412354,-10.408988952636717
5C Group,-17.892399,1.2285343,7.0,0.9030899869919435,2000.0,Hardware,24,Canada,8.3,-17.456856866722077,1.3580736217724159
AMC Robotics Corporation,-0.2121859,-24.17217,3.0,0.6020599913279624,110.0,Robotics,1,United States,8.0,-0.21218590438365936,-24.172170639038086
AMD,-5.7544546,8.650881,7.0,0.9030899869919435,794000.0,Hardware,19,United States,13.6,-4.742622618559935,8.752138439839626
AMI,17.565363,-1.6675768,8.0,0.9542425094393249,3500.0,AI model,4,France,8.4,17.565362930297844,-1.667576789855957
ARM Holdings,-4.524283,10.889502,5.0,0.7781512503836436,253350.0,Hardware,19,United Kingdom,11.1,-3.214043660229109,10.264852078058674
AWS,-17.169384,-5.136426,5.0,0.7781512503836436,1200000.0,Hardware,14,United States,14.9,-17.250424565553757,-5.098890687417406
Abridge,-22.933783,5.096527,5.0,0.7781512503836436,5300.0,Health & Social Care,3,United States,8.4,-22.93378257751465,5.096527099609375
Accentize GmbH,26.99941,8.819675,4.0,0.6989700043360189,1.0,Manufacturing & Operations,16,Germany,8.0,26.99941062927246,8.81967544555664
Adobe,19.062824,10.953005,7.0,0.9030899869919435,252800.0,ICT,9,United States,11.1,19.062824249267585,10.953004837036133
Aleph Alpha,13.755733,2.0724328,4.0,0.6989700043360189,2000.0,AI model,4,Germany,8.3,13.755732536315918,2.07243275642395
Alibaba,0.31589288,0.64660245,8.0,0.9542425094393249,282750.0,Cloud Provider,18,China,11.4,0.5683920769056598,1.1788811148638523
Alphabet,-2.0231729,-0.78892535,7.0,0.9030899869919435,4120000.0,Cloud Provider,18,United States,20.7,-3.239571612057759,0.9449655542624456
Alpine Eagle,8.408401,20.875061,5.0,0.7781512503836436,11.0,Manufacturing & Operations,12,Germany,8.0,8.423270708039901,20.87861954527628
Amazon,-3.8516355,-1.3652467,10.0,1.0413926851582251,2900000.0,Unknown,18,United States,18.6,-4.308876578742577,-2.1552519212172854
