community,label_short,n_actors,top_country,top_sector,compactness,sample_actors
0,Robotics - Figure AI,5,United States,Robotics,1.4357244228888266,"1X Technologies, AMC Robotics Corporation, Boston Dynamics, Figure AI, Physical Intelligence"
1,Cloud Provider - SpaceX,4,United States,Cloud Provider,1.2214100779293884,"5C Group, Databricks, SpaceX, WhiteFiber"
2,Hardware - Broadcom,6,United States,Hardware,2.0456700779848496,"AMD, Broadcom, Intel, Kandou AI, Mobileye"
3,Health & Social Care - Abridge,5,United States,Health & Social Care,1.7228316082316852,"Abridge, Ambiance Healthcare, Corti, Doctolib, Nabla"
4,Media & Entertainment - Kling AI,7,Unknown,Media & Entertainment,2.885833310624641,"Accentize GmbH, Kling AI, Lightspeed, Luma AI, Midjourney, Inc."
5,Defence - Palantir,8,United States,Defence,2.2266903124879267,"Alpine Eagle, Anduril Industries, BigBear.ai, Comand AI, Harmattan AI"
6,AI model - Recursion Pharmaceuticals,4,United Kingdom,AI model,1.2887948423660476,"BenevolentAI, Owkin, PharmAI, Recursion Pharmaceuticals"
7,AI model - YouTube,10,China,AI model,3.9550100159562325,"Adobe, Ant Group, Black Forest Labs, Colossyan, Kaola"
8,ICT - Apple,11,United States,ICT,4.822062045060735,"Apple, Cisco, Cloudflare, Cognition, Cognition AI"
9,AI model - Dynatrace,3,Germany,AI model,1.0102253540555501,"Dash0, Dynatrace, Presight AI"
10,Financial Services - UiPath,2,Germany,Financial Services,0.5146229340610494,"Dexter, UiPath"
11,ICT - EbenBuild,2,Germany,ICT,0.4014051718248791,"3ive AI, EbenBuild"
12,Cloud Provider - Nscale,3,United States,Cloud Provider,0.9325975619379037,"Crusoe, Fermi Inc., Nscale"
13,Hardware - Nvidia,8,United States,Hardware,3.182350791355627,"ARM Holdings, Arago, Cerebras, Graphcore, Groq"
14,Professional Services - Thomson Reuters,5,United States,Professional Services,1.5151459150327127,"Harvey, Harvey AI, Lawx, Luminance, Thomson Reuters"
15,AI model - Ineffable Intelligence,4,United States,AI model,1.4355874847791115,"Cradle, Glean, Ineffable Intelligence, World Labs"
16,Cloud Provider - Google,8,United States,Cloud Provider,2.6570926478337125,"4.screen, Alibaba, Alphabet, Amazon, Google"
17,Quantic - Pasqal,5,Canada,Quantic,2.0710908023306023,"DarwinAI, IQM Quantum Computers, Multiverse Computing, Pasqal, Quantistry"
18,ICT - Oracle,6,United States,ICT,1.9551965654142822,"C3 AI, Dataiku, Kraken Technologies, Oracle, Shopify"
19,Sales & Marketing - Sierra,4,United States,Sales & Marketing,1.4720582976292582,"Decagon, PolyAI, Sierra, SoundHound AI"
20,Computer Vision - Cognex,2,United States,Computer Vision,0.45662132441239534,"Cognex, Prophesee"
21,AI model - ByteDance,9,France,AI model,2.5120856455859397,"AMI, Aleph Alpha, Anysphere, ByteDance, Cohere"
22,Hardware - AWS,4,United States,Hardware,1.4305918634780954,"AWS, Celonis, IBM, Salesforce"
23,Data - Scale AI,5,United States,Data,1.5440390704797922,"Appen, Doubleword, Innodata, Scale AI, Teraki"
24,Transport & Mobility - Tesla,9,China,Transport & Mobility,2.6690100757882087,"4Paradigm, Aurora Innovation, Cambricon Technologies, Einride, Pony AI"
25,AI model - Domyn,3,France,AI model,1.170565311767932,"Domyn, LightOn, Yseop"
26,AI model - OpenAI,8,China,AI model,2.63075234462164,"01.AI, Anthropic, DeepSeek, MiniMax, Moonshot AI"
