actor,x,y,score,log_score,ranking_score,sector
01.AI,6.870059,-11.4650955,10.0,1.0413926851582251,1000.0,AI model
1X Technologies,15.973464,21.179562,5.0,0.7781512503836436,10000.0,Robotics
3ive AI,-19.41604,-1.6394526,5.0,0.7781512503836436,5.0,ICT
4.screen,-7.1120877,-6.6518116,6.0,0.8450980400142568,150.0,Transport & Mobility
4Paradigm,9.486222,24.70947,6.0,0.8450980400142568,1000.0,AI model
5C Group,-3.4273937,10.655938,7.0,0.9030899869919435,2000.0,Hardware
AMC Robotics Corporation,16.255505,18.365232,3.0,0.6020599913279624,110.0,Robotics
AMD,-5.307454,23.477173,7.0,0.9030899869919435,794000.0,Hardware
AMI,7.564808,-23.489153,8.0,0.9542425094393249,3500.0,AI model
ARM Holdings,-7.553124,21.249123,5.0,0.7781512503836436,253350.0,Hardware
AWS,-1.1326637,6.4439135,5.0,0.7781512503836436,1200000.0,Hardware
Abridge,9.124617,5.792077,5.0,0.7781512503836436,5300.0,Health & Social Care
Accentize GmbH,-2.8037615,-28.198227,4.0,0.6989700043360189,1.0,Manufacturing & Operations
Adobe,-3.4036565,-19.437687,7.0,0.9030899869919435,252800.0,ICT
Aleph Alpha,9.131298,-18.597494,4.0,0.6989700043360189,2000.0,AI model
Alibaba,-0.37877756,-8.677056,8.0,0.9542425094393249,282750.0,Cloud Provider
Alphabet,-2.6375408,-7.0359964,7.0,0.9030899869919435,4120000.0,Cloud Provider
Alpine Eagle,-25.246828,8.361152,5.0,0.7781512503836436,11.0,Manufacturing & Operations
Amazon,-1.5405961,-5.6775904,10.0,1.0413926851582251,2900000.0,Retail & E-commerce
Ambiance Healthcare,10.560726,6.890237,8.0,0.9542425094393249,1400.0,Health & Social Care
Anduril Industries,-22.044807,11.1886635,10.0,1.0413926851582251,61000.0,Defence
Ant Group,3.9915335,-14.221537,4.0,0.6989700043360189,103000.0,Financial Services
Anthropic,11.345281,-18.389297,6.0,0.8450980400142568,18400.0,Hardware
Anysphere,6.02746,-19.94175,7.0,0.9030899869919435,60000.0,AI model
Appen,-23.209623,-12.39557,6.0,0.8450980400142568,263.0,ICT
