actor,x,y,z,score,log_score,ranking_score,sector
20face,-82.46655,-16.172213,-101.95158,9.0,1.0,8.0,Health & Social Care
3ive AI,-17.729935,122.59854,-45.384647,5.0,0.7781512503836436,5.0,ICT
4.screen,-111.23123,57.405228,51.31894,3.0,0.6020599913279624,42.0,Transport & Mobility
AI Medical Technology,-54.36036,-96.31905,70.10122,6.0,0.8450980400142568,1.0,AI model
AMD,-26.393894,-27.513588,53.938656,7.0,0.9030899869919435,794000.0,Hardware
AMI labs,12.572386,-57.255188,-14.982102,5.0,0.7781512503836436,3500.0,AI model
ARM Holdings,-0.27137145,-57.44958,28.588873,5.0,0.7781512503836436,253350.0,Hardware
AWS,18.538471,-6.0396066,56.291214,5.0,0.7781512503836436,1200000.0,Hardware
Abridge,30.330534,30.457788,48.762432,5.0,0.7781512503836436,5300.0,Health & Social Care
Adobe,99.69767,-13.403021,-6.707517,8.0,0.9542425094393249,252800.0,ICT
Aleph Alpha,43.169987,-33.200424,-43.46153,4.0,0.6989700043360189,2000.0,AI model
Alibaba,-30.059008,17.855171,-50.956852,8.0,0.9542425094393249,282750.0,Cloud Provider
Alphabet Inc.,42.44543,-3.7184076,-81.15765,10.0,1.0413926851582251,4120000.0,Cloud Provider
Altavo GmbH,113.0625,-34.74521,54.654205,2.0,0.47712125471966244,10.0,AI model
Amazon,17.73099,-90.304,-32.073452,10.0,1.0413926851582251,2900000.0,Unknown
Amberscript,92.691635,-84.89699,-59.042496,8.0,0.9542425094393249,10.0,AI model
Ambiance Healthcare,16.96218,55.375134,54.83508,8.0,0.9542425094393249,1400.0,Health & Social Care
Ant Group,32.713364,33.68589,-71.99337,4.0,0.6989700043360189,103000.0,Financial Services
Anysphere,23.595884,31.948357,-34.412693,7.0,0.9030899869919435,60000.0,AI model
Apple,-10.445779,-87.029175,-18.384212,16.0,1.2304489213782739,4000000.0,ICT
Arago,52.802967,-32.459137,57.070297,6.0,0.8450980400142568,70.0,Hardware
Art Recognition,-50.68161,49.910423,-108.27035,3.0,0.6020599913279624,50.0,ICT
BenevolentAI,-45.52082,-27.632202,100.351654,1.0,0.3010299956639812,13.0,AI model
Black Forest Labs,-82.715744,28.625706,-32.983105,10.0,1.0413926851582251,3250.0,AI model
Boston Dynamics,-32.396793,23.967447,57.868004,4.0,0.6989700043360189,20000.0,Robotics
Broadcom,-34.302094,-53.590893,41.276104,4.0,0.6989700043360189,1835000.0,Hardware
ByteDance,15.798078,5.7600093,-49.335968,4.0,0.6989700043360189,550000.0,Media & Entertainment
Celonis,115.1009,47.128227,13.472235,8.0,0.9542425094393249,12000.0,ICT
Cerebras,26.187849,-42.162,42.646255,7.0,0.9030899869919435,18000.0,Hardware
Cisco,21.493092,-98.62654,33.797092,10.0,1.0413926851582251,465000.0,Unknown
Cloudflare,66.52127,-0.64429533,24.352352,5.0,0.7781512503836436,103500.0,Cloud Provider
Cognex,-46.941578,19.51657,-8.149449,5.0,0.7781512503836436,9600.0,Computer Vision
Cognition AI,41.319084,64.88964,-3.4153554,4.0,0.6989700043360189,26000.0,Professional Services
Cohere,9.978352,-50.496643,-52.247314,5.0,0.7781512503836436,20000.0,AI model
Comand AI,-9.809231,42.897503,-12.144011,4.0,0.6989700043360189,124.0,AI model
Corti,44.271282,49.91503,37.304935,6.0,0.8450980400142568,300.0,Health & Social Care
DarwinAI,-65.05173,72.311905,73.3547,2.0,0.47712125471966244,50.0,ICT
DeepL,20.212091,-4.3858523,26.332111,4.0,0.6989700043360189,2000.0,ICT
DeepSeek,58.009335,-4.4022937,-40.58948,5.0,0.7781512503836436,60000.0,AI model
DentalMonitoring,-74.107254,-75.30428,-59.564526,5.0,0.7781512503836436,1200.0,AI model
Dexter,-101.18285,31.910873,-78.91855,3.0,0.6020599913279624,5.0,Financial Services
Doctolib,13.051187,38.32166,25.028807,11.0,1.0791812460476249,3600.0,Health & Social Care
Doubleword,67.28941,29.638428,-15.650351,5.0,0.7781512503836436,27.0,AI model
EbenBuild,21.544119,126.89678,8.717972,4.0,0.6989700043360189,12.0,Health & Social Care
Figure AI,-33.540123,18.730818,79.81539,5.0,0.7781512503836436,39000.0,Robotics
GitHub,60.403915,76.33684,-10.168322,5.0,0.7781512503836436,35000.0,AI model
Gleamer,115.020615,22.89453,-54.36734,4.0,0.6989700043360189,230.0,AI model
Google,64.06527,-16.284067,-81.738045,8.0,0.9542425094393249,4560000.0,AI model
Harvey,-53.418808,106.28253,30.060617,8.0,0.9542425094393249,11000.0,Professional Services
Hugging Face,47.95873,25.345806,1.9350355,6.0,0.8450980400142568,4500.0,Hardware
HughGrants,-53.418808,106.28253,30.060617,3.0,0.6020599913279624,1.0,AI model
IBM,53.6998,-72.498955,0.40034693,11.0,1.0791812460476249,213000.0,AI model
Ineffable Intelligence,9.658245,-3.8762996,-8.312605,3.0,0.6020599913279624,5100.0,AI model
Intel,-68.292336,55.280994,15.617863,5.0,0.7781512503836436,508000.0,Hardware
Job&Talent,74.77844,92.88285,56.27032,9.0,1.0,1500.0,ICT
Kuaishou,-78.230705,11.575272,50.707905,6.0,0.8450980400142568,26000.0,AI model
ManoMano,0.055668678,115.171196,68.912506,6.0,0.8450980400142568,2600.0,Retail & E-commerce
Meta,-8.98745,-16.207458,-56.955368,12.0,1.1139433523068367,1503000.0,AI model
Microsoft,-5.3991656,-29.581255,-30.988256,6.0,0.8450980400142568,3450000.0,Cloud Provider
Mistral AI,34.68859,-60.971004,-67.29019,11.0,1.0791812460476249,11700.0,AI model
Mobileye,-25.14972,-13.066441,28.586018,4.0,0.6989700043360189,6700.0,Computer Vision
Nabla,-7.475116,66.31012,56.07367,3.0,0.6020599913279624,120.0,AI model
