name,residual_distance_standard,residual_distance_robust,delta_robust_minus_standard,abs_delta
Aqemia,0.2713221300597103,0.28765867944529866,0.016336549385588373,0.016336549385588373
ManoMano,0.2787305499219987,0.2852987395130293,0.006568189591030615,0.006568189591030615
BenevolentAI,0.25635396131541394,0.25634527756072556,-8.683754688376677e-06,8.683754688376677e-06
Ant Group,0.22727647545087165,0.227723969816117,0.00044749436524535446,0.00044749436524535446
Scale AI,0.20920575046500534,0.22379954935966198,0.014593798894656645,0.014593798894656645
Databricks,0.2135767947192983,0.22056611915814214,0.006989324438843841,0.006989324438843841
UiPath,0.20279059364424856,0.21754981283843955,0.014759219194190987,0.014759219194190987
Prophesee,0.2285911959650518,0.21134475645237508,-0.017246439512676737,0.017246439512676737
Comand AI,0.21208875559440116,0.20541839088138192,-0.006670364713019239,0.006670364713019239
Appen,0.20552424202958888,0.20517230868285752,-0.00035193334673136456,0.00035193334673136456
Harvey,0.20455645067264172,0.20463249301556416,7.604234292243883e-05,7.604234292243883e-05
Y combinator,0.21039855077710218,0.1977640598765049,-0.01263449090059729,0.01263449090059729
Celonis,0.2019505423181409,0.19419592249536433,-0.007754619822776587,0.007754619822776587
Owkin,0.17895716879995938,0.18981601712342708,0.010858848323467701,0.010858848323467701
Groq,0.17497116659454515,0.1811159749261508,0.006144808331605661,0.006144808331605661
PolyAI,0.1497616362537012,0.1594596603303766,0.009698024076675388,0.009698024076675388
Palantir,0.1461698692316588,0.14582978424794515,-0.0003400849837136566,0.0003400849837136566
H Company,0.13945422051280554,0.13056219564005345,-0.008892024872752091,0.008892024872752091
AMD,0.12354383309364159,0.12713280076715122,0.0035889676735096354,0.0035889676735096354
Synthesia,0.13504600023613123,0.12548126941377832,-0.009564730822352902,0.009564730822352902
Alibaba,0.12250488732777652,0.12267533547030882,0.00017044814253229512,0.00017044814253229512
Aleph Alpha,0.13229132149039746,0.11696133601040977,-0.015329985479987693,0.015329985479987693
Qualcomm,0.09934546343907623,0.11254082973967776,0.01319536630060153,0.01319536630060153
Hugging Face,0.10710013503404081,0.11248338508231169,0.0053832500482708795,0.0053832500482708795
Adobe,0.0911182755084113,0.10295914047442631,0.01184086496601501,0.01184086496601501
ByteDance,0.10773787327666863,0.09974586315307239,-0.007992010123596238,0.007992010123596238
YouTube,0.11128866491337863,0.09787466417761652,-0.013414000735762113,0.013414000735762113
World Labs,0.09159463963643304,0.0971381992091368,0.005543559572703763,0.005543559572703763
Sakana AI,0.09092958524079184,0.08960682800445184,-0.001322757236339997,0.001322757236339997
Cohere,0.09388393581803021,0.08136048102000523,-0.012523454798024983,0.012523454798024983
Wayve,0.07301926477881597,0.06932897520566343,-0.0036902895731525387,0.0036902895731525387
Mistral AI,0.05921589082992439,0.06424885396789519,0.005032963137970796,0.005032963137970796
Cerebras,0.05807974027917044,0.05736193717614745,-0.0007178031030229889,0.0007178031030229889
Oracle,0.06066334815825834,0.05714428720994437,-0.0035190609483139734,0.0035190609483139734
OpenAI,0.04771403278563346,0.04645898971670415,-0.001255043068929311,0.001255043068929311
Black Forest Labs,0.04440076431784021,0.04516417708082697,0.0007634127629867621,0.0007634127629867621
DeepL,0.04370532716089497,0.0318323454993809,-0.01187298166151407,0.01187298166151407
Anthropic,0.03058344175895758,0.03033436444096787,-0.0002490773179897113,0.0002490773179897113
Parloa,0.029382750928173273,0.029143638809835223,-0.00023911211833805082,0.00023911211833805082
ARM Holdings,0.022939677217546972,0.02005888510898711,-0.0028807921085598626,0.0028807921085598626
