sector,frequency,axis_1,axis_2,point_size
AI model,76,0.31576374850199773,-0.14932961718684945,30.0
ICT,34,-3.166924654093601,-1.2903066454176993e-16,23.28050725696616
Hardware,21,0.3157637485020064,-0.5388557955252631,20.374756538606572
Professional Services,16,0.3157637485020016,-0.14492305510767162,19.018739222458876
Media & Entertainment,15,0.31576374850200095,-0.16273725504380737,18.723092178695858
Data,15,0.3157637485020037,-0.0186485859661325,18.723092178695858
HealthTech,14,0.31576374850199657,0.41607514106212906,18.41741469061424
Marketing,14,0.31576374850200434,0.56204683974756,18.41741469061424
Sales,14,0.3157637485020044,0.5620468397475599,18.41741469061424
Cloud Provider,14,0.3157637485020023,-0.1037114875314865,18.41741469061424
Operations,12,0.3157637485020059,-0.5079874924520055,17.771369145298564
Industrial & Manufacturing,12,0.3157637485020058,-0.5079874924520055,17.771369145298564
Computer Vision,10,0.315763748501998,-0.28251551305485717,17.068836387906963
Robotics,9,0.3157637485020029,-0.44302130942676693,16.69111497055718
Aerospace,8,0.3157637485020024,-0.3013559447239166,16.291757785147908
Mobility & Transport,8,0.31576374850200384,-0.4665586876129351,16.291757785147908
Retail & E-commerce,8,0.3157637485020067,0.5949105850108186,16.291757785147908
Public Sector,6,0.3157637485020028,-0.3337909766450729,15.409733944938665
Infrastructure,6,0.3157637485020022,-0.23124941914103067,15.409733944938665
Financial Services,6,0.315763748502005,-0.13131561584990395,15.409733944938665
Generative Media,6,0.3157637485019991,-0.27101400107705936,15.409733944938665
Agentic,5,0.3157637485020014,-0.16451352212099565,14.912968268181379
Biotech,5,0.3157637485019951,-0.3377573158314005,14.912968268181379
R&D,5,0.315763748501996,-0.08147282535297454,14.912968268181379
Workflow & Productivity,4,0.3157637485019984,-0.1719841496015895,14.363490718655484
IT & Security,4,0.3157637485020064,-0.23670422545868217,14.363490718655484
Energy & ClimateTech,4,0.3157637485020066,-0.3941941638117865,14.363490718655484
LegalTech,4,0.31576374850200645,-0.19265609721967153,14.363490718655484
Real Estate & PropTech,3,0.3157637485020007,6.856902213824635,13.739805680075328
Natural Language Processing,3,0.31576374850200445,1.7641266247130976,13.739805680075328
Inference & Model Serving,3,0.3157637485019962,-0.2028645477925258,13.739805680075328
Developer Tools,3,0.3157637485019961,-0.21493074297385087,13.739805680075328
Automation,2,0.3157637485020072,-0.39509440419510367,13.0
Drone & UAV,2,0.31576374850200234,-0.33616816702439345,13.0
Construction,2,0.31576374850200045,8.60857387596007,13.0
Voice & Audio AI,2,0.31576374850199745,0.16151262198255226,13.0
