sector,frequency,axis_1,axis_2,point_size
AI model,76,-12.105034870446998,15.66834059801373,30.0
ICT,34,29.79641005572151,-0.7055378494893804,23.641141866365707
Hardware,21,-16.743312256434617,18.753474312939794,20.891342544250193
Professional Services,16,-5.04382072384527,12.251561764070994,19.608102563215315
Data,15,-6.718199831129701,10.529893522440698,19.328322871382717
Media & Entertainment,15,-7.250086109130686,9.454821964543505,19.328322871382717
Cloud Provider,14,-5.811399552095494,11.817889583709217,19.039051068333027
Sales,14,-3.7137493062387374,8.207302299559029,19.039051068333027
Marketing,14,-3.7137493062387374,8.207302299559029,19.039051068333027
HealthTech,14,-2.229039614483324,18.543472488289833,19.039051068333027
Industrial & Manufacturing,12,-4.480428408089019,15.053047824319817,18.42767873300493
Operations,12,-4.480428408089019,15.053047824319817,18.42767873300493
Computer Vision,10,-9.236761030314032,8.35175059098557,17.76285084951396
Robotics,9,-9.809014923248553,4.164433575565706,17.40540170881021
Aerospace,8,-4.9089365676548855,13.488550432976595,17.027477989895903
Retail & E-commerce,8,-3.6308620050507625,9.567997998227595,17.027477989895903
Mobility & Transport,8,-9.596220919386466,6.522523814213891,17.027477989895903
Generative Media,6,-9.09760881298138,8.504415701698814,16.192792294879943
Financial Services,6,-4.065961364761363,11.12490010544918,16.192792294879943
Infrastructure,6,-10.262344844148476,14.162360111134602,16.192792294879943
Public Sector,6,-4.641175315899026,13.818127684689399,16.192792294879943
Agentic,5,-9.774152911064462,16.67926571079325,15.722687990141576
Biotech,5,-8.33983138869278,8.339676010590198,15.722687990141576
R&D,5,-11.352112756535542,19.17855779219753,15.722687990141576
IT & Security,4,-6.345723168492333,11.32896955158538,15.202700854405105
Workflow & Productivity,4,-7.926147819771668,11.534769999134369,15.202700854405105
LegalTech,4,-4.544769550299665,11.862116002387882,15.202700854405105
Energy & ClimateTech,4,-5.838154560567496,11.298133234009029,15.202700854405105
Natural Language Processing,3,-2.9155103402697002,11.996435909947706,14.612488939299913
Inference & Model Serving,3,-17.286164886429262,17.76260782143782,14.612488939299913
Developer Tools,3,-16.991770517182925,18.290282425956505,14.612488939299913
Real Estate & PropTech,3,-1.731064931059184,17.93679778211508,14.612488939299913
Automation,2,-5.571328065485072,13.161433145456654,13.9123885677454
Drone & UAV,2,-4.619688636870426,13.811163717327103,13.9123885677454
Construction,2,-1.8161345124244692,17.818571090698242,13.9123885677454
Voice & Audio AI,2,-11.811738605826934,13.776423700399695,13.9123885677454
Advertising,1,-6.868502140045166,9.686899185180664,13.0
Defence,1,-4.637718200683594,13.632250785827637,13.0
Education,1,-18.03395652770996,18.067699432373047,13.0
