company_1,company_2,similarity,distance
Xelix,SiPearl,0.99468845,0.0053115487
Xelix,Nabla,0.993914,0.006085992
SiPearl,Tessl,0.9927677,0.0072323084
SiPearl,Nabla,0.98963404,0.010365963
Xelix,Tessl,0.9891846,0.010815382
Tessl,Nabla,0.98782176,0.012178242
Scale AI,Hugging Face,0.83952713,0.16047287
Perplexity,Perplexity AI,0.8369127,0.16308731
MiniMax,Hailo Technologies,0.81632626,0.18367374
BuildOps,PlanRadar,0.7536385,0.2463615
Scale AI,ManoMano,0.7431595,0.25684053
Procore,PlanRadar,0.73556125,0.26443875
Black Forest Labs,Black Forest AI GmbH,0.72315705,0.27684295
Apollo,Cognism,0.70190597,0.29809403
OpenAI,Anthropic,0.69443506,0.30556494
Anthropic,Hugging Face,0.68898416,0.31101584
01.AI,Sakana AI,0.6772359,0.3227641
Cerebras,Celonis,0.67425174,0.32574826
Mistral AI,01.AI,0.67223364,0.32776636
Procore,BuildOps,0.6709557,0.32904428
Owkin,Aqemia,0.66500735,0.33499265
Scale AI,Appen,0.6632693,0.33673072
Hugging Face,Appen,0.65067154,0.34932846
Sidetrade,Shift Technology,0.64733076,0.35266924
UiPath,Appen,0.6383569,0.36164308
01.AI,Hailo Technologies,0.6372106,0.3627894
World Labs,AMI - Advanced Machine Intelligence,0.63617927,0.36382073
Mistral AI,Synthesia,0.63321584,0.36678416
5C,Hugging Face,0.62454474,0.37545526
Nscale,Hugging Face,0.62208366,0.37791634
Scale AI,Anthropic,0.6200449,0.3799551
1X Technologies,Hailo Technologies,0.61983204,0.38016796
PhotoRoom,Prophesee,0.61302114,0.38697886
World Labs,Hugging Face,0.6119255,0.38807452
MiniMax,01.AI,0.6118338,0.3881662
Synthesia,01.AI,0.6115983,0.3884017
Scale AI,5C,0.61097264,0.38902736
Scale AI,AMI - Advanced Machine Intelligence,0.6109552,0.38904482
AMI - Advanced Machine Intelligence,Hugging Face,0.60929716,0.39070284
ManoMano,Hugging Face,0.6084319,0.39156812
Owkin,Prophesee,0.6076424,0.3923576
OpenAI,Mistral AI,0.6048019,0.3951981
Scale AI,Comand AI,0.6044005,0.39559948
UiPath,Hugging Face,0.6039681,0.39603192
01.AI,Appen,0.6030946,0.39690542
Anthropic,AMI - Advanced Machine Intelligence,0.6026698,0.39733022
Scale AI,World Labs,0.60148036,0.39851964
Shift Technology,Lightspeed,0.6010279,0.3989721
UiPath,Sakana AI,0.59974957,0.40025043
Alibaba,Ant Group,0.59738594,0.40261406
Anthropic,01.AI,0.5973217,0.4026783
Databricks,Anthropic,0.5913509,0.4086491
Physical Intelligence,World Labs,0.59036994,0.40963006
AMI - Advanced Machine Intelligence,Black Forest Labs,0.5896887,0.41031128
Scale AI,Groq,0.5891661,0.4108339
Hugging Face,Comand AI,0.58782846,0.41217154
Sakana AI,Comand AI,0.58691883,0.41308117
World Labs,Prophesee,0.5860026,0.4139974
Groq,Hugging Face,0.5857785,0.41422153
Y combinator,Palantir,0.58507055,0.41492945
World Labs,ManoMano,0.58503455,0.41496545
Mistral AI,Sakana AI,0.5845978,0.41540217
Lightspeed,Apollo,0.58448225,0.41551775
Scale AI,UiPath,0.5829521,0.41704792
Waymo,Wayve,0.5795726,0.42042738
RobCo GmbH,Exotec,0.57924837,0.42075163
Hailo Technologies,H Company,0.57816416,0.42183584
World Labs,Owkin,0.57789826,0.42210174
AMI - Advanced Machine Intelligence,Owkin,0.5768389,0.4231611
AMI - Advanced Machine Intelligence,Aqemia,0.574974,0.425026
OpenAI,01.AI,0.57489836,0.42510164
Physical Intelligence,AMI - Advanced Machine Intelligence,0.5682379,0.4317621
Scale AI,Lightspeed,0.5679132,0.43208683
Aleph Alpha,Hugging Face,0.5675802,0.43241978
Celonis,AMI - Advanced Machine Intelligence,0.5672155,0.4327845
Groq,Sakana AI,0.56704074,0.43295926
OpenAI,Sakana AI,0.5669226,0.4330774
Scale AI,Owkin,0.56527025,0.43472975
Mistral AI,Hailo Technologies,0.5647301,0.4352699
Cerebras,Nscale,0.5644038,0.43559623
UiPath,ARM Holdings,0.5641011,0.4358989
Physical Intelligence,01.AI,0.5640138,0.43598622
Wayve,Hugging Face,0.5640006,0.4359994
MiniMax,Comand AI,0.56376976,0.43623024
Scale AI,Physical Intelligence,0.5636771,0.43632293
Scale AI,01.AI,0.5628229,0.43717712
01.AI,Comand AI,0.5620907,0.4379093
Physical Intelligence,Prophesee,0.5620039,0.4379961
Synthesia,Hailo Technologies,0.5613841,0.43861592
1X Technologies,RobCo GmbH,0.5611795,0.43882048
Cerebras,ARM Holdings,0.5599196,0.4400804
UiPath,01.AI,0.5595779,0.44042212
Cerebras,AMI - Advanced Machine Intelligence,0.5581146,0.4418854
Hailo Technologies,Comand AI,0.5574434,0.44255662
Appen,SiPearl,0.55666214,0.44333786
OpenAI,Hugging Face,0.55644363,0.44355637
Mistral AI,Appen,0.5564362,0.44356382
Appen,Tessl,0.555304,0.444696
OpenAI,Scale AI,0.55506885,0.44493115
Hugging Face,ARM Holdings,0.55493474,0.44506526
Cerebras,Hugging Face,0.55469257,0.44530743
Anthropic,Y combinator,0.55428547,0.44571453
BenevolentAI,01.AI,0.5535181,0.44648188
Nscale,AMI - Advanced Machine Intelligence,0.5531499,0.44685012
UiPath,Comand AI,0.55312055,0.44687945
Sidetrade,Apollo,0.5525933,0.4474067
Scale AI,Shift Technology,0.55184704,0.44815296
01.AI,H Company,0.55107063,0.44892937
Scale AI,Wayve,0.55081946,0.44918054
Appen,Nabla,0.550734,0.44926602
Synthesia,Comand AI,0.549822,0.45017803
Groq,Comand AI,0.5465206,0.4534794
Cerebras,Groq,0.54541916,0.45458084
Appen,Xelix,0.54482186,0.45517814
Nscale,World Labs,0.5447402,0.4552598
Appen,Comand AI,0.5441409,0.45585912
Databricks,Oracle,0.54191464,0.45808536
Hailo Technologies,ARM Holdings,0.54095495,0.45904505
OpenAI,Synthesia,0.5399123,0.46008772
Mistral AI,Black Forest Labs,0.53899,0.46100998
AMD,ARM Holdings,0.5387028,0.4612972
01.AI,Hugging Face,0.53761363,0.46238637
World Labs,Aleph Alpha,0.53691566,0.46308434
Cerebras,Physical Intelligence,0.53678495,0.46321505
Appen,Ant Group,0.5366575,0.4633425
Hailo Technologies,Sakana AI,0.5363215,0.46367848
Multiverse Computing,AMI - Advanced Machine Intelligence,0.53629404,0.46370596
World Labs,Black Forest Labs,0.5355023,0.4644977
Perplexity AI,Comand AI,0.53537136,0.46462864
Anthropic,5C,0.53515446,0.46484554
Scale AI,ARM Holdings,0.53484917,0.46515083
Cerebras,AMD,0.53440094,0.46559906
Scale AI,Prophesee,0.5343718,0.4656282
5C,Appen,0.53357023,0.46642977
Mistral AI,Comand AI,0.53318757,0.46681243
Anthropic,Mistral AI,0.5328847,0.46711528
Scale AI,Sakana AI,0.5327059,0.4672941
Hugging Face,Nabla,0.5324518,0.4675482
AMD,Hugging Face,0.5320781,0.4679219
Scale AI,Nscale,0.53199947,0.46800053
Hugging Face,Black Forest AI GmbH,0.5312821,0.46871787
OpenAI,Physical Intelligence,0.5308675,0.46913248
Anthropic,World Labs,0.5302662,0.46973377
Black Forest AI GmbH,Comand AI,0.5300279,0.46997207
Synthesia,Sakana AI,0.52886564,0.47113436
Hugging Face,SiPearl,0.5281361,0.47186393
Anthropic,Sakana AI,0.5280564,0.47194362
PolyAI,Parloa,0.5277917,0.47220832
Anthropic,Physical Intelligence,0.52773005,0.47226995
01.AI,Lightspeed,0.5275457,0.4724543
MiniMax,Synthesia,0.5269044,0.4730956
Anthropic,Black Forest Labs,0.52687657,0.47312343
Databricks,Hugging Face,0.52662146,0.47337854
MiniMax,1X Technologies,0.52637535,0.47362465
Hugging Face,Xelix,0.5257158,0.47428417
Sidetrade,Lightspeed,0.5253891,0.47461092
Hugging Face,Tessl,0.5248889,0.47511113
AMI - Advanced Machine Intelligence,Black Forest AI GmbH,0.52469903,0.47530097
Mistral AI,UiPath,0.5242871,0.4757129
Black Forest Labs,Hugging Face,0.5234112,0.4765888
1X Technologies,H Company,0.52313036,0.47686964
Hugging Face,Lightspeed,0.52310187,0.47689813
Scale AI,Cerebras,0.5230958,0.4769042
AMI - Advanced Machine Intelligence,Prophesee,0.52299196,0.47700804
Anthropic,Appen,0.522914,0.477086
Lightspeed,Comand AI,0.52182806,0.47817194
Mistral AI,AMI - Advanced Machine Intelligence,0.52146816,0.47853184
ManoMano,Prophesee,0.5204172,0.4795828
Synthesia,Appen,0.5203887,0.47961128
OpenAI,AMI - Advanced Machine Intelligence,0.5202866,0.47971338
Physical Intelligence,Groq,0.5187212,0.48127878
