country,nombre_entreprises,annee_creation_min,annee_creation_max,annee_creation_moyenne,capitalisation_millions_totale,capitalisation_millions_moyenne,nombre_non_validees,nombre_validees_partiellement,nombre_validees,taux_validees_partiellement_pct,taux_validees_pct
United States,105,1911.0,2025.0,2009.3,32696709.0,311397.2,0,15,69,14.3,65.7
France,31,1998.0,2026.0,2018.1,40106.0,1293.7,0,7,21,22.6,67.7
United Kingdom,28,1990.0,2026.0,2015.8,373757.0,13348.5,0,6,12,21.4,42.9
Germany,22,2011.0,2024.0,2019.2,63589.0,2890.4,0,5,13,22.7,59.1
China,16,1999.0,2024.0,2015.2,1274790.0,79674.4,0,4,12,25.0,75.0
Switzerland,13,2003.0,2021.0,2011.7,1478.0,113.7,0,2,1,15.4,7.7
Unknown,7,2019.0,2023.0,2021.0,12460.0,1780.0,0,3,4,42.9,57.1
Canada,6,1799.0,2025.0,1965.0,260150.0,43358.3,0,1,4,16.7,66.7
Singapore,5,2015.0,2022.0,2018.6,0.0,0.0,0,0,0,0.0,0.0
Poland,5,2002.0,2023.0,2013.6,345.0,69.0,0,1,0,20.0,0.0
Israel,4,1999.0,2018.0,2011.3,8640.0,2160.0,0,2,1,50.0,25.0
Sweden,4,2016.0,2024.0,2020.5,2130.0,532.5,0,2,0,50.0,0.0
Netherlands,4,1984.0,2021.0,2005.2,381583.0,95395.8,0,0,1,0.0,25.0
Brazil,3,2019.0,2023.0,2021.7,0.0,0.0,0,0,0,0.0,0.0
Italy,3,2010.0,2016.0,2013.0,2150.0,716.7,0,0,1,0.0,33.3
United Arab Emirates,2,2024.0,2024.0,2024.0,7650.0,3825.0,0,0,2,0.0,100.0
Finland,2,2016.0,2018.0,2017.0,2220.0,1110.0,0,2,0,100.0,0.0
Australia,1,1996.0,1996.0,1996.0,263.0,263.0,0,0,1,0.0,100.0
Belgium,1,2022.0,2022.0,2022.0,613.0,613.0,0,0,0,0.0,0.0
India,1,2023.0,2023.0,2023.0,0.0,0.0,0,0,0,0.0,0.0
Denmark,1,2016.0,2016.0,2016.0,300.0,300.0,0,0,1,0.0,100.0
Austria,1,2013.0,2013.0,2013.0,103.0,103.0,0,0,0,0.0,0.0
Japan,1,,,,2700.0,2700.0,0,0,1,0.0,100.0
Spain,1,2013.0,2013.0,2013.0,1500.0,1500.0,0,1,0,100.0,0.0
South Korea,1,1987.0,1987.0,1987.0,4930.0,4930.0,0,0,1,0.0,100.0
Taiwan,1,1987.0,1987.0,1987.0,2170000.0,2170000.0,0,0,1,0.0,100.0
Uruguay,1,2023.0,2023.0,2023.0,0.0,0.0,0,1,0,100.0,0.0
