sector,nombre_entreprises,annee_creation_min,annee_creation_max,annee_creation_moyenne,capitalisation_millions_totale,capitalisation_millions_moyenne,nombre_non_validees,nombre_validees_partiellement,nombre_validees,taux_validees_partiellement_pct,taux_validees_pct
AI model,128,1911.0,2026.0,2016.1,16566665.1,129427.1,2,18,68,14.1,53.1
Advertising,1,2021.0,2021.0,2021.0,1503000.0,1503000.0,0,0,1,0.0,100.0
Aerospace,9,2002.0,2024.0,2017.2,1820094.0,202232.7,0,1,7,11.1,77.8
Agentic,5,2018.0,2026.0,2022.6,18650.0,3730.0,0,0,5,0.0,100.0
Automation,2,2018.0,2018.0,2018.0,10260.0,5130.0,0,0,1,0.0,50.0
Bim,1,1982.0,1982.0,1982.0,53000.0,53000.0,0,0,1,0.0,100.0
Biotech,10,2015.0,2024.0,2020.3,13271.2,1327.1,0,4,5,40.0,50.0
CAD,1,1982.0,1982.0,1982.0,53000.0,53000.0,0,0,1,0.0,100.0
CRM,1,,,,2000.0,2000.0,0,1,0,100.0,0.0
CX,1,,,,2000.0,2000.0,0,1,0,100.0,0.0
Cardio,1,2016.0,2016.0,2016.0,1400.0,1400.0,0,1,0,100.0,0.0
Chatbot,1,,,,100.0,100.0,0,1,0,100.0,0.0
Cloud Provider,18,1911.0,2025.0,2001.1,8928170.0,496009.4,0,0,16,0.0,88.9
Computer Vision,12,1987.0,2024.0,2014.9,94650.0,7887.5,0,1,11,8.3,91.7
Conglomerate,1,1987.0,1987.0,1987.0,300000.0,300000.0,0,0,1,0.0,100.0
Construction,4,2003.0,2015.0,2010.3,564.0,141.0,0,2,0,50.0,0.0
Credit scoring,1,2012.0,2012.0,2012.0,3020.0,3020.0,0,0,1,0.0,100.0
Customer Experience,1,2017.0,2017.0,2017.0,0.0,0.0,0,1,0,100.0,0.0
Data,20,1799.0,2024.0,1991.9,2220050.0,111002.5,0,5,13,25.0,65.0
Database,1,2012.0,2012.0,2012.0,10500.0,10500.0,0,0,1,0.0,100.0
Defence,6,2011.0,2023.0,2018.2,87299.0,14549.8,0,1,4,16.7,66.7
Developer Tools,3,2016.0,2023.0,2020.3,87160.0,29053.3,0,0,3,0.0,100.0
Diabet,1,2015.0,2015.0,2015.0,200.0,200.0,0,1,0,100.0,0.0
Drone,1,2015.0,2015.0,2015.0,8000.0,8000.0,0,0,1,0.0,100.0
Drone & UAV,3,2011.0,2024.0,2019.3,1575.0,525.0,0,1,2,33.3,66.7
Editing,1,1799.0,1799.0,1799.0,78000.0,78000.0,0,0,1,0.0,100.0
Education,2,2016.0,2016.0,2016.0,221.3,110.6,0,0,0,0.0,0.0
Energy & ClimateTech,5,2003.0,2025.0,2014.0,1189816.3,237963.3,0,0,4,0.0,80.0
Financial Services,6,1998.0,2018.0,2008.0,293290.0,48881.7,0,2,3,33.3,50.0
Fintech,1,,,,70.0,70.0,0,1,0,100.0,0.0
Generative Media,6,2018.0,2024.0,2020.8,38350.0,6391.7,0,1,5,16.7,83.3
Hardware,27,1961.0,2025.0,2001.9,13325640.0,493542.2,0,6,21,22.2,77.8
HealthTech,25,2005.0,2026.0,2017.0,18726.4,749.1,0,8,14,32.0,56.0
ICT,40,1976.0,2024.0,2013.8,5012672.0,125316.8,0,8,16,20.0,40.0
IT & Security,8,1998.0,2021.0,2012.7,201966.3,25245.8,0,1,6,12.5,75.0
