id,name,capitalization,capitalization_millions,rank,rank_pct,cumulative_capitalization_millions,cumulative_share_pct
17,Nvidia,5470000.0,5470000.0,1,0.5,5470000.0,14.498567954973543
4,Google,4560000.0,4560000.0,2,1.0,10030000.0,26.5851255189003
158,Apple,4500000.0,4500000.0,3,1.5,14530000.0,38.51264943067012
5,Microsoft,3450000.0,3450000.0,4,2.0,17980000.0,47.65708442969366
1615,Amazon,2900000.0,2900000.0,5,2.5,20880000.0,55.34371095061199
1967,TSMC,2170000.0,2170000.0,6,3.0,23050000.0,61.09542803695434
53,Broadcom,1835000.0,1835000.0,7,3.5000000000000004,24885000.0,65.95920723208714
1668,Meta,1503000.0,1503000.0,8,4.0,26388000.0,69.94300021861825
159,SpaceX,1480000.0,1480000.0,9,4.5,27868000.0,73.86583030515588
9,AWS,1200000.0,1200000.0,10,5.0,29068000.0,77.04650334829452
160,Tesla,1180000.0,1180000.0,11,5.5,30248000.0,80.17416517404749
1618,AMD,794000.0,794000.0,12,6.0,31042000.0,82.27871050425755
1573,ByteDance,550000.0,550000.0,13,6.5,31592000.0,83.73651898236274
1619,Intel,508000.0,508000.0,14,7.000000000000001,32100000.0,85.08300390395809
1686,Cisco,465000.0,465000.0,15,7.5,32565000.0,86.3155147081743
161,Oracle,408000.0,408000.0,16,8.0,32973000.0,87.39694354284144
1571,YouTube,400000.0,400000.0,17,8.5,33373000.0,88.45716789055432
1968,ASML,380000.0,380000.0,18,9.0,33753000.0,89.46438102088155
162,Palantir,318020.0,318020.0,19,9.5,34071020.0,90.30731238853066
163,Alibaba,282750.0,282750.0,20,10.0,34353770.0,91.0567584743202
114,ARM Holdings,253350.0,253350.0,21,10.5,34607120.0,91.72827807055283
165,Adobe,252800.0,252800.0,22,11.0,34859920.0,92.39833985830738
15,IBM,213000.0,213000.0,23,11.5,35072920.0,92.96290932346449
133,Databricks,188000.0,188000.0,24,12.0,35260920.0,93.46121476688953
1791,Salesforce,180000.0,180000.0,25,12.5,35440920.0,93.93831572336032
1569,Qualcomm,172240.0,172240.0,26,13.0,35613160.0,94.39484832748549
1792,Shopify,160000.0,160000.0,27,13.5,35773160.0,94.81893806657064
12,OpenAI,157000.0,157000.0,28,14.000000000000002,35930160.0,95.23507612304795
90,Waymo,126000.0,126000.0,29,14.499999999999998,36056160.0,95.5690467925775
1568,Snowflake,112000.0,112000.0,30,15.0,36168160.0,95.8659096099371
164,Cambricon Technologies,104500.0,104500.0,31,15.5,36272660.0,96.1428932207771
1612,Cloudflare,103500.0,103500.0,32,16.0,36376160.0,96.41722627074779
1966,Thomson Reuters,78000.0,78000.0,33,16.5,36454160.0,96.6239700185518
97,Z.AI,74000.0,74000.0,34,17.0,36528160.0,96.82011152287868
2865,RELX,62000.0,62000.0,35,17.5,36590160.0,96.98444629677418
51,Anduril,61000.0,61000.0,36,18.0,36651160.0,97.1461305098004
52,Anysphere,60000.0,60000.0,37,18.5,36711160.0,97.30516416195732
28,DeepSeek,60000.0,60000.0,38,19.0,36771160.0,97.46419781411426
1906,Microchip Technology,40000.0,40000.0,39,19.5,36811160.0,97.57022024888555
66,Figure AI,39000.0,39000.0,40,20.0,36850160.0,97.67359212278755
10,GitHub,35000.0,35000.0,41,20.5,36885160.0,97.76636175321242
29,Moonshot AI,35000.0,35000.0,42,21.0,36920160.0,97.8591313836373
25,Safe Superintelligence,32000.0,32000.0,43,21.5,36952160.0,97.94394933145433
86,Scale AI,29000.0,29000.0,44,22.0,36981160.0,98.02081559666351
147,Reflection,27500.0,27500.0,45,22.5,37008660.0,98.09370602056877
57,Cognition AI,26000.0,26000.0,46,23.0,37034660.0,98.16262060317011
1910,Kuaishou,26000.0,26000.0,47,23.5,37060660.0,98.23153518577145
60,CoreWeave,23000.0,23000.0,48,24.0,37083660.0,98.29249808576495
1921,Boston Dynamics,20000.0,20000.0,49,24.5,37103660.0,98.34550930315058
20,Cohere,20000.0,20000.0,50,25.0,37123660.0,98.39852052053622
145,Perplexity,20000.0,20000.0,51,25.5,37143660.0,98.45153173792187
2,Anthropic,18400.0,18400.0,52,26.0,37162060.0,98.50030205791667
1,Cerebras,18000.0,18000.0,53,26.5,37180060.0,98.54801215356375
109,Helsing,18000.0,18000.0,54,27.0,37198060.0,98.59572224921082
1962,Kling AI,18000.0,18000.0,55,27.500000000000004,37216060.0,98.6434323448579
166,Dynatrace,16480.0,16480.0,56,28.000000000000004,37232540.0,98.68711358798367
151,Sierra,15800.0,15800.0,57,28.499999999999996,37248340.0,98.72899244971833
922,Langfuse,15000.0,15000.0,58,28.999999999999996,37263340.0,98.76875086275756
221,Nscale,14600.0,14600.0,59,29.5,37277940.0,98.80744905144908
152,Skild AI,14000.0,14000.0,60,30.0,37291940.0,98.84455690361904
167,Aurora Innovation,12370.0,12370.0,61,30.5,37304310.0,98.87734434157205
223,Celonis,12000.0,12000.0,62,31.0,37316310.0,98.90915107200344
132,Cyera,12000.0,12000.0,63,31.5,37328310.0,98.94095780243482
2397,Viasat,11900.0,11900.0,64,32.0,37340210.0,98.97249947677929
3,Mistral AI,11700.0,11700.0,65,32.5,37351910.0,99.00351103894988
139,Harvey,11000.0,11000.0,66,33.0,37362910.0,99.032667208512
146,Physical Intelligence,11000.0,11000.0,67,33.5,37373910.0,99.0618233780741
2320,Elastic,10500.0,10500.0,68,34.0,37384410.0,99.08965426720155
30,MiniMax,10300.0,10300.0,69,34.5,37394710.0,99.11695504415516
111,1X Technologies,10000.0,10000.0,70,35.0,37404710.0,99.14346065284798
129,Cognition,10000.0,10000.0,71,35.5,37414710.0,99.16996626154081
130,Crusoe,10000.0,10000.0,72,36.0,37424710.0,99.19647187023362
77,"Midjourney, Inc.",10000.0,10000.0,73,36.5,37434710.0,99.22297747892645
1920,Cognex,9600.0,9600.0,74,37.0,37444310.0,99.24842286327156
230,Kraken Technologies,8600.0,8600.0,75,37.5,37452910.0,99.27121768674738
222,Wayve,8600.0,8600.0,76,38.0,37461510.0,99.29401251022321
168,Tempus AI,8490.0,8490.0,77,38.5,37470000.0,99.31651577200343
249,Quantum Systems,8000.0,8000.0,78,39.0,37478000.0,99.33772025895767
68,Glean Technologies,7200.0,7200.0,79,39.5,37485200.0,99.3568042972165
170,SentinelOne,7120.0,7120.0,80,40.0,37492320.0,99.3756762906058
224,Neura Robotics,7000.0,7000.0,81,40.5,37499320.0,99.39423021669077
70,Groq,6900.0,6900.0,82,41.0,37506220.0,99.41251908668882
169,Mobileye,6700.0,6700.0,83,41.5,37512920.0,99.43027784451301
171,UiPath,6430.0,6430.0,84,42.0,37519350.0,99.4473209509025
2201,AgiBot,6400.0,6400.0,85,42.5,37525750.0,99.4642845404659
225,ContentSquare,5600.0,5600.0,86,43.0,37531350.0,99.47912768133388
172,Presight AI,5520.0,5520.0,87,43.5,37536870.0,99.49375877733232
150,SambaNova,5500.0,5500.0,88,44.0,37542370.0,99.50833686211337
154,Suno AI,5400.0,5400.0,89,44.5,37547770.0,99.52264989080749
1917,Abridge,5300.0,5300.0,90,45.0,37553070.0,99.53669786341469
85,Runway,5300.0,5300.0,91,45.5,37558370.0,99.55074583602187
228,Ineffable Intelligence,5100.0,5100.0,92,46.0,37563470.0,99.56426369645523
2191,5C,5000.0,5000.0,93,46.5,37568470.0,99.57751650080164
232,OakNorth Credit Intelligence,5000.0,5000.0,94,47.0,37573470.0,99.59076930514804
157,World Labs,5000.0,5000.0,95,47.5,37578470.0,99.60402210949447
174,LG CNS,4930.0,4930.0,96,48.0,37583400.0,99.61708937458002
240,Recursive Superintelligence,4650.0,4650.0,97,48.5,37588050.0,99.62941448262218
63,Decagon,4500.0,4500.0,98,49.0,37592550.0,99.64134200653395
7,Hugging Face,4500.0,4500.0,99,49.5,37597050.0,99.65326953044573
173,Fermi Inc.,4240.0,4240.0,100,50.0,37601290.0,99.66450790853148
1961,Luma AI,4000.0,4000.0,101,50.5,37605290.0,99.6751101520086
122,Synthesia,4000.0,4000.0,102,51.0,37609290.0,99.68571239548574
16,Dataiku,3700.0,3700.0,103,51.5,37612990.0,99.69551947070208
1919,Doctolib,3600.0,3600.0,104,52.0,37616590.0,99.7050614898315
229,AMI Labs,3500.0,3500.0,105,52.5,37620090.0,99.71433845287399
175,Pony AI,3400.0,3400.0,106,53.0,37623490.0,99.72335035982954
126,Black Forest Labs,3250.0,3250.0,107,53.5,37626740.0,99.7319646826547
177,Upstart,3020.0,3020.0,108,54.0,37629760.0,99.73996937647995
181,Recursion Pharmaceuticals,3005.0,3005.0,109,54.50000000000001,37632765.0,99.74793431189214
176,SoundHound AI,2850.0,2850.0,110,55.00000000000001,37635615.0,99.75548841036958
105,Sakana AI,2700.0,2700.0,111,55.50000000000001,37638315.0,99.76264492471665
137,Genspark.ai,2600.0,2600.0,112,56.00000000000001,37640915.0,99.76953638297678
236,ManoMano,2600.0,2600.0,113,56.49999999999999,37643515.0,99.77642784123691
2128,Agility Robotics,2500.0,2500.0,114,56.99999999999999,37646015.0,99.78305424341012
134,EliseAI,2200.0,2200.0,115,57.49999999999999,37648215.0,99.78888547732254
178,SPACE42,2130.0,2130.0,116,57.99999999999999,37650345.0,99.79453117197411
179,Innodata,2070.0,2070.0,117,58.5,37652415.0,99.80001783297354
1750,5C Group,2000.0,2000.0,118,59.0,37654415.0,99.80531895471209
34,Aleph Alpha,2000.0,2000.0,119,59.5,37656415.0,99.81062007645066
8,DeepL,2000.0,2000.0,120,60.0,37658415.0,99.81592119818922
1597,Kaola,2000.0,2000.0,121,60.5,37660415.0,99.82122231992778
1958,Pasqal,2000.0,2000.0,122,61.0,37662415.0,99.82652344166635
1716,Semrush,1960.0,1960.0,123,61.5,37664375.0,99.83171854097014
180,WeRide,1940.0,1940.0,124,62.0,37666315.0,99.83686062905656
1601,Weibo,1900.0,1900.0,125,62.5,37668215.0,99.84189669470818
1926,IQM Quantum Computers,1800.0,1800.0,126,63.0,37670015.0,99.84666770427289
2202,Ahrefs,1750.0,1750.0,127,63.5,37671765.0,99.85130618579414
256,Domyn,1700.0,1700.0,128,64.0,37673465.0,99.85581213927192
182,BigBear.ai,1550.0,1550.0,129,64.5,37675015.0,99.85992050861931
1964,Harvey AI,1500.0,1500.0,130,65.0,37676515.0,99.86389634992324
227,Job&Talent,1500.0,1500.0,131,65.5,37678015.0,99.86787219122715
226,Oxford Nanopore Technologies,1440.0,1440.0,132,66.0,37679455.0,99.87168899887891
1918,Ambiance Healthcare,1400.0,1400.0,133,66.5,37680855.0,99.8753997840959
1839,Harmattan AI,1400.0,1400.0,134,67.0,37682255.0,99.87911056931291
1767,Lightspeed,1350.0,1350.0,135,67.5,37683605.0,99.88268882648644
183,C3 AI,1330.0,1330.0,136,68.0,37684935.0,99.88621407244258
243,Einride,1315.0,1315.0,137,68.5,37686250.0,99.88969955998569
2136,Ada Support,1200.0,1200.0,138,69.0,37687450.0,99.89288023302882
35,DentalMonitoring,1200.0,1200.0,139,69.5,37688650.0,99.89606090607197
148,Replit,1160.0,1160.0,140,70.0,37689810.0,99.89913555668033
1948,CommerceIQ,1100.0,1100.0,141,70.5,37690910.0,99.90205117363654
184,WhiteFiber,1060.0,1060.0,142,71.0,37691970.0,99.90486076815799
27,01.AI,1000.0,1000.0,143,71.5,37692970.0,99.90751132902727
94,4Paradigm,1000.0,1000.0,144,72.0,37693970.0,99.91016188989656
285,Agile Robots,1000.0,1000.0,145,72.5,37694970.0,99.91281245076583
2267,ChapsVision,1000.0,1000.0,146,73.0,37695970.0,99.91546301163513
1887,Dash0,1000.0,1000.0,147,73.5,37696970.0,99.9181135725044
751,Franka Emika,1000.0,1000.0,148,74.0,37697970.0,99.92076413337368
37,H Company,1000.0,1000.0,149,74.5,37698970.0,99.92341469424296
42,Owkin,1000.0,1000.0,150,75.0,37699970.0,99.92606525511223
44,Shift Technology,1000.0,1000.0,151,75.5,37700970.0,99.92871581598153
121,Stability AI,1000.0,1000.0,152,76.0,37701970.0,99.9313663768508
231,Babylon Health,979.0,979.0,153,76.5,37702949.0,99.93396127594183
234,Mollie,865.0,865.0,154,77.0,37703814.0,99.93625401109377
124,Applied Intuition,850.0,850.0,155,77.5,37704664.0,99.93850698783265
141,Legora,815.0,815.0,156,78.0,37705479.0,99.94066719494111
138,Glean,770.0,770.0,157,78.5,37706249.0,99.94270812681046
2866,Pinecone,750.0,750.0,158,79.0,37706999.0,99.94469604746243
1836,PolyAI,750.0,750.0,159,79.5,37707749.0,99.94668396811439
185,ODDITY Tech,740.0,740.0,160,80.0,37708489.0,99.94864538315765
235,Mews,718.0,718.0,161,80.5,37709207.0,99.9505484858618
1637,Run:ai,700.0,700.0,162,81.0,37709907.0,99.95240387847029
238,Exscientia,675.0,675.0,163,81.5,37710582.0,99.95419300705707
239,Acronis,658.0,658.0,164,82.0,37711240.0,99.95593707610905
2867,Milvus,650.0,650.0,165,82.5,37711890.0,99.95765994067408
241,Nothing,645.0,645.0,166,83.0,37712535.0,99.95936955243478
242,Stark,627.0,627.0,167,83.5,37713162.0,99.96103145409981
244,Boom,613.0,613.0,168,84.0,37713775.0,99.96265624791269
1752,2CRSI,610.0,610.0,169,84.5,37714385.0,99.96427309004294
125,Baseten,585.0,585.0,170,85.0,37714970.0,99.96582366815147
245,Parloa,564.0,564.0,171,85.5,37715534.0,99.96731858448175
156,Together AI,548.0,548.0,172,86.0,37716082.0,99.96877109183812
