id,name,country,headquarter_city,sector,website,founded_year,capitalization,employees_count,main_investors
186,AIAI Holdings Corporation,États-Unis,,Entreprise IA cotée (market cap),,,0.47 B USD,,
195,AMC Robotics Corporation,États-Unis,,Entreprise IA cotée (market cap),,,0.11 B USD,,
229,AMI - Advanced Machine Intelligence,,,AI startup Europe (Dealroom),,,1.0 B USD,,
123,Abridge,États-Unis,,AI notetaker for doctors,https://eventidegamesstudio.com/abridge/,2018,830 M USD,,
198,Airship AI,États-Unis,,Entreprise IA cotée (market cap),,,71.28 M USD,,
254,Aiven,Finlande,Helsinki,AI startup Europe (Dealroom),https://aiven.io/,,420 M USD,,
194,Almawave,Italie,,Entreprise IA cotée (market cap),,,0.15 B USD,,
51,Anduril Industries,États-Unis,California,,https://www.anduril.com/,,,,
192,Appen,Australie,,Entreprise IA cotée (market cap),http://www.appen.de/,,0.17 B USD,,
210,Arrive AI,États-Unis,,Entreprise IA cotée (market cap),,,17.23 M USD,,
98,Artisse AI,Hong Kong,,,,,,,
209,Avant Technologies Inc.,États-Unis,,Entreprise IA cotée (market cap),,,21.01 M USD,,
95,Baichuan,Chine,Beijing,,http://www.baichuan-ai.com/,,,,
125,Baseten,États-Unis,,AI app deployment software,,2019,585 M USD,,
182,BigBear.ai,États-Unis,Maryland,Entreprise IA cotée (market cap),https://bigbear.ai/,,1.40 B USD,,
126,Black Forest Labs,Allemagne,Freiburg im Breisgau,Image and video generation software,https://blackforestlabs.ai/,2024,450 M USD,,
14,Bloomberg,,,,,,,,
244,Boom,Belgium,,AI startup Europe (Dealroom),https://www.boom.be/,,613 M USD,,
53,Broadcom,États-Unis,San Jose,,https://www.broadcom.com/,,,,
253,Builder,,,AI startup Europe (Dealroom),,,445 M USD,,
213,Bullfrog AI,États-Unis,,Entreprise IA cotée (market cap),,,11.92 M USD,,
183,C3 AI,États-Unis,Redwood City,Entreprise IA cotée (market cap),http://www.c3.ai/,,1.33 B USD,,
54,Caper AI,États-Unis,,,https://www.caper.ai,,,,
223,Celonis,Allemagne,Munich,AI startup Europe (Dealroom),https://www.celonis.com/,,1.8 B USD,,
127,Chai Discovery,États-Unis,,AI drug discovery,,2024,225 M USD,,
128,Clay,États-Unis,,AI go-to-market tools,,2017,204 M USD,,
60,CoreWeave,États-Unis,Roseland,,https://www.coreweave.com/,,,,
61,Counsel AI,États-Unis,,,https://www.harvey.ai/,,,,
130,Crusoe,États-Unis,,AI data center builder,,2018,2.9 B USD,,
246,CuspAI,,,AI startup Europe (Dealroom),,,530 M USD,,
132,Cyera,États-Unis,Tel Aviv,AI data security,https://www.cyera.io/,2021,1.7 B USD,,
133,Databricks,États-Unis,San Francisco,Data storage and analytics,http://databricks.com/,2013,20 B USD,,
63,Decagon,États-Unis,,,,,,,
256,Domyn,,,AI startup Europe (Dealroom),,,387 M USD,,
189,Duos Technologies Group,États-Unis,,Entreprise IA cotée (market cap),,,0.26 B USD,,
166,Dynatrace,États-Unis,Waltham,Entreprise IA cotée (market cap),https://www.dynatrace.com,,12.48 B USD,,
21,Element AI,Canada,Montreal,Plateforme IA Générative,https://www.elementai.com,2016,,,
64,EleutherAI,États-Unis,,,https://www.eleuther.ai/,,,,
65,ElevenLabs,États-Unis,,,https://elevenlabs.io/,,,,
134,EliseAI,États-Unis,,AI agents for housing and healthcare,,2017,392 M USD,,
257,Entrepreneurs First,Royaume-Uni,London,AI startup Europe (Dealroom),https://www.joinef.com/,,381 M USD,,
238,Exscientia,,,AI startup Europe (Dealroom),,,675 M USD,,
173,Fermi Inc.,États-Unis,,Entreprise IA cotée (market cap),,,4.24 B USD,,
66,Figure AI,États-Unis,Sunnyvale,,https://www.figure.ai/,,,,
